Screaming Circuits SMD component position file.,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,
,,,,
"Centroid Data for pc board: ""Trap Lighting Programmable SpectrumV03.brd"" as of: 5/11/2018 14:40",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
A1,Top,1.68,0.81,255
C1,Top,0.54,0.75,180
C2,Top,0.17,0.78,180
C3,Top,1.413,1.379,225
C4,Top,1.268,1.593,250
C5,Top,0.162,1.367,270
C6,Top,0.362,1.508,90
C7,Top,1.48,1.245,345
C8,Top,1.212,1.795,250
C9,Top,1.36,1.605,250
C10,Top,1.455,1.79,70
C11,Top,0.28,1.22,90
C12,Top,0.06,1.1,90
C13,Top,0.4,1.065,0
C14,Top,0.42,0.915,270
C15,Top,0.34,0.915,270
C16,Top,0.34,0.69,0
C17,Top,0.802,1.315,0
D1,Top,0.415,1.22,90
D2,Top,0.35,1.221,90
IC1,Top,0.302,1.367,180
IC2,Top,0.8,1.6,0
IC3,Top,1.305,1.745,250
IC4,Top,0.2,0.95,0
IC5,Top,0.835,0.86,0
IC6,Top,0.73,0.24,90
IC7,Top,0.875,0.24,90
IC8,Top,1.015,0.24,90
IC9,Top,1.15,0.24,90
IC10,Top,1.295,0.24,90
IC11,Top,1.44,0.24,90
J1,Top,0.998,1.837,90
J2,Top,1.64,1.553,41
J3,Top,1.864,1.166,110
L1,Top,1.35,1.863,340
L2,Top,0.21,1.09,0
LED1,Bottom,0.786,1.07,198
LED2,Bottom,0.868,0.818,126
LED3,Bottom,1.132,0.818,54
LED4,Bottom,1.214,1.07,342
LED5,Bottom,1,1.225,270
LED6,Bottom,1,1,0
LED7,Top,0.462,1.342,0
R1,Top,0.675,0.43,270
R2,Top,0.815,0.43,270
R3,Top,0.96,0.43,270
R4,Top,1.1,0.43,270
R5,Top,1.24,0.43,270
R6,Top,1.375,0.43,270
R7,Top,1.35,1.44,225
R8,Top,0.617,1.342,180
R9,Top,0.275,0.555,45
R10,Top,0.802,1.395,0
R11,Top,0.34,0.77,0
R12,Top,0.147,1.238,180
R13,Top,0.5,0.93,270
R14,Top,0.802,1.475,180
R15,Top,0.97,1.525,180
SJ1,Top,0.775,1.745,270
SJ2,Top,1.16,1.59,270
SJ3,Top,0.08,0.86,180
USB1,Top,0.545,1.775,210
